Player,Team,POS,ATT,RUSH_YDS,RUSH_TDS,REC,REC_YDS,REC_TDS,FL,FPTS
Kyle Pitts Sr.,ATL,TE15,0,0,0,47.8,602.4,3.8,0.1,83.2
Tyler Allgeier,ATL,RB50,117.3,540.8,3.2,12.7,92.3,0.3,0.8,83.1
Jake Ferguson,DAL,TE16,0,0,0,67.7,621.1,3.8,1.2,82.5
Romeo Doubs,GB,WR63,0,0.5,0,45.2,575.2,4.3,0.5,82.3
Nick Chubb,HOU,RB51,118.9,484.3,3.8,9.9,75.6,0.7,0.5,82
Isaac Guerendo,SF,RB52,113.1,488.7,3.9,10.6,93.2,0.4,0.9,81.9
Wan'Dale Robinson,NYG,WR64,2,15.6,0,69.1,622,3.1,0.5,81.6
Rico Dowdle,CAR,RB53,107.3,459.1,2.6,20.9,143,1.1,0.8,80.9
Tre' Harris,LAC,WR65,0.7,3.8,0,44.2,587.3,3.7,0.7,80.1
Luther Burden III,CHI,WR66,3.7,27.4,0.4,47,570,3.4,1.1,79.9
Quentin Johnston,LAC,WR67,1.7,7.2,0,39.9,520.6,4.6,0.4,79.8
Joshua Palmer,BUF,WR68,0,0.5,0,42,577,3.5,0.1,78.7
Roschon Johnson,CHI,RB54,96.6,346.6,5,19,123.9,0.5,0.4,78.7
Hunter Henry,NE,TE17,0,0,0,55.4,574.6,3.6,0.4,78.5
Tyler Lockett,TEN,WR69,0,0,0,49.6,578.7,3.5,0.1,78.5
Darren Waller,MIA,TE18,0,0,0,52.6,579.5,3.4,0.1,77.9
Isaiah Likely,BAL,TE19,0,0,0,41.4,495.5,4.8,0.7,77
Jonnu Smith,PIT,TE20,0,1.5,0,52.2,544.5,4,0.9,76.7
Colston Loveland,CHI,TE21,0,0,0,52.8,554,3.8,0.8,76.5
Michael Wilson,ARI,WR70,1.9,8.9,0.1,43.8,525,3.9,0.5,76.4
Cade Otton,TB,TE22,0,0,0,52.3,532.3,4,0.5,76
DeMario Douglas,NE,WR71,2.1,15.7,0,54.6,575.3,2.8,0.2,75.7
Calvin Austin III,PIT,WR72,2.3,11.8,0.1,39.3,539.2,3.4,0.5,74.7
Jaylen Wright,MIA,RB55,117.5,478.7,2.9,13.1,90.5,0.6,1.5,74.4
Jack Bech,LV,WR73,1,4.7,0,45.9,574.4,2.9,0.8,74.1
Brenton Strange,JAC,TE23,0,0,0,55.2,546.2,3.3,0.5,73.3
Bhayshul Tuten,JAC,RB56,91.9,398,2.7,17.5,137.4,0.8,0.8,73.2
Mike Gesicki,CIN,TE24,0,0,0,52.8,518.3,3.6,0.4,72.7
Alec Pierce,IND,WR74,0,0,0,29.3,529.2,3.3,0.1,72.6
Jalen McMillan,TB,WR75,2.3,18.7,0,36,450.9,4.3,0.5,71.9
Braelon Allen,NYJ,RB57,100.5,390.9,2.7,16.6,123.1,0.8,0.4,71.9
Dyami Brown,JAC,WR76,0,3.7,0,41.1,522.1,3.1,0.2,70.6
Chig Okonkwo,TEN,TE25,0,3,0,53.8,537.2,2.9,0.8,69.9
Dalton Schultz,HOU,TE26,0,0,0,49.9,516.6,3.1,0.4,69.6
Juwan Johnson,NO,TE27,0,0,0,48.9,501,3.3,0.2,69.5
MarShawn Lloyd,GB,RB58,105.6,381.4,2.9,13.8,110.2,0.7,0.8,69.4
Diontae Johnson,CLE,WR77,0,2.3,0,43.1,533.4,2.8,0.7,68.8
Pat Freiermuth,PIT,TE28,0,0,0,51.2,493.6,3.5,0.9,68.7
Kareem Hunt,KC,RB59,82.4,314.4,3.3,18.2,124.3,0.7,0.1,68
